timestamps,TP9,AF7,AF8,TP10
1610738100.955,-213.379,-81.055,-406.738,-73.242
1610738100.959,102.539,14.648,117.676,20.020
1610738100.963,165.527,33.691,374.023,22.949
1610738100.967,-138.184,-66.895,-127.930,-68.359
1610738100.971,-245.605,-106.934,-437.988,-75.684
1610738100.975,38.086,-24.902,5.371,0.488
1610738100.979,197.266,25.879,349.121,29.297
1610738100.982,-37.598,-48.828,-71.289,-40.039
1610738100.986,-266.602,-119.629,-570.312,-84.473
1610738100.990,-78.613,-96.191,-481.445,-17.578
1610738100.994,197.266,53.223,174.805,37.109
1610738100.998,58.105,45.410,286.133,-16.113
1610738101.001,-248.047,-66.895,-331.055,-90.820
1610738101.005,-147.949,-7.324,-118.164,-59.082
1610738101.009,165.039,68.848,427.246,16.113
1610738101.013,129.395,8.789,254.395,0.000
1610738101.017,-187.500,-100.098,-308.105,-79.590
1610738101.021,-227.539,-89.355,-445.312,-85.449
1610738101.025,85.449,28.320,146.973,-3.906
1610738101.028,171.387,32.227,337.891,5.371
1610738101.032,-136.230,-132.324,-391.602,-75.684
1610738101.036,-271.973,-87.891,-477.051,-102.051
1610738101.040,0.488,66.895,192.871,-28.320
1610738101.044,197.754,41.992,392.578,17.090
1610738101.045,-19.531,-52.734,-26.855,-47.363
1610738101.049,-266.113,-72.266,-378.906,-103.516
1610738101.053,-91.797,-16.113,-12.695,-49.805
1610738101.057,192.871,26.367,375.488,31.250
1610738101.061,73.730,-20.020,144.531,-11.230
1610738101.065,-248.047,-107.422,-385.254,-105.469
1610738101.069,-191.406,-62.012,-292.480,-76.172
1610738101.072,125.000,-7.812,182.129,22.949
1610738101.076,125.488,-55.664,-4.883,18.066
1610738101.080,-181.641,-37.109,-301.758,-72.266
1610738101.084,-233.887,-25.879,-265.625,-73.730
1610738101.088,68.848,6.348,169.434,6.348
1610738101.090,188.965,38.086,411.621,15.137
1610738101.094,-80.078,-26.855,8.301,-61.523
1610738101.098,-260.254,-83.984,-408.203,-96.680
1610738101.102,-10.742,-15.137,-20.508,-25.391
1610738101.106,221.680,61.523,427.734,33.203
1610738101.110,20.020,-17.090,26.367,-23.926
1610738101.114,-250.488,-97.168,-488.770,-87.891
1610738101.117,-98.633,-49.805,-299.805,-41.016
1610738101.121,204.102,73.242,277.344,33.691
1610738101.125,120.117,53.223,319.824,10.742
1610738101.129,-201.660,-78.125,-304.688,-64.453
1610738101.133,-191.406,-55.176,-286.133,-57.617
1610738101.136,131.348,54.688,344.727,23.438
1610738101.140,169.922,39.062,365.723,20.020
1610738101.144,-143.555,-107.422,-330.078,-63.477
1610738101.148,-231.445,-104.980,-520.020,-67.871
1610738101.152,67.383,42.969,198.242,2.930
1610738101.156,210.449,41.504,385.742,21.484
1610738101.160,-63.965,-102.051,-276.855,-43.945
1610738101.163,-273.926,-138.184,-657.227,-88.867
1610738101.167,-33.691,51.270,67.871,-20.508
1610738101.171,213.867,100.586,476.562,43.457
1610738101.175,28.809,-22.461,18.555,-17.090
1610738101.179,-254.883,-83.984,-427.246,-88.867
1610738101.180,-137.207,-12.207,-43.945,-48.828
1610738101.184,166.504,44.922,401.855,34.668
1610738101.188,106.445,-13.184,147.949,6.348
1610738101.192,-212.891,-66.895,-321.777,-84.473
1610738101.196,-209.961,-41.016,-312.012,-73.730
1610738101.200,104.980,17.578,251.953,0.000
1610738101.204,159.668,-47.363,48.340,9.766
1610738101.207,-140.137,-90.332,-470.215,-67.871
1610738101.211,-258.789,-19.531,-291.504,-92.285
1610738101.215,21.484,11.719,146.973,-8.789
1610738101.219,201.172,21.973,390.137,31.250
1610738101.223,-40.039,-20.996,56.152,-43.945
1610738101.225,-265.137,-67.383,-346.191,-99.121
1610738101.229,-62.500,-29.785,-76.172,-35.156
1610738101.233,205.078,26.855,355.469,30.273
1610738101.237,62.988,-0.977,215.332,-14.648
1610738101.241,-225.098,-82.520,-291.504,-82.031
1610738101.245,-151.855,-101.562,-444.824,-47.852
1610738101.249,140.625,-14.160,62.012,31.738
1610738101.252,127.930,5.859,242.676,9.766
1610738101.256,-190.430,-78.613,-280.762,-76.660
1610738101.260,-226.074,-112.793,-515.625,-64.941
1610738101.264,86.914,-37.109,-139.648,16.602
1610738101.268,189.453,66.406,369.141,20.996
1610738101.285,-97.168,-45.898,-54.688,-57.129
1610738101.289,-252.441,-97.168,-453.613,-85.938
1610738101.293,16.602,22.949,117.676,-9.766
1610738101.297,220.703,54.688,471.191,27.344
1610738101.301,-11.230,-57.129,-13.184,-42.969
1610738101.305,-271.973,-129.883,-520.020,-94.727
1610738101.309,-89.355,-27.344,-59.570,-44.922
1610738101.312,200.684,64.941,448.730,25.391
1610738101.316,73.730,-20.508,143.555,-11.719
1610738101.320,-232.910,-121.094,-409.180,-86.426
1610738101.324,-168.457,-51.270,-275.391,-59.570
1610738101.328,142.578,52.246,313.965,25.879
