timestamps,TP9,AF7,AF8,TP10
1610747318.121,-14.160,-41.992,-447.266,-20.020
1610747318.125,111.816,-43.945,-329.590,4.395
1610747318.129,-20.020,-35.645,-432.617,-16.602
1610747318.133,-182.129,-42.480,-619.141,-54.199
1610747318.137,-72.754,-46.387,-547.852,-41.016
1610747318.141,105.957,-37.109,-375.488,-8.301
1610747318.145,36.133,-31.738,-449.219,-21.973
1610747318.148,-159.180,-38.574,-610.352,-61.035
1610747318.152,-122.070,-37.598,-666.504,-42.480
1610747318.156,77.148,-27.832,-549.805,-0.977
1610747318.160,93.750,-39.062,-298.828,-8.301
1610747318.164,-108.398,-58.105,-550.293,-45.410
1610747318.166,-156.250,-58.105,-700.195,-45.410
1610747318.170,46.387,-40.527,-340.820,-7.324
1610747318.174,126.953,-29.297,-198.730,6.348
1610747318.178,-52.734,-24.902,-534.668,-24.414
1610747318.182,-174.805,-35.156,-715.820,-46.875
1610747318.186,-26.855,-45.898,-481.934,-23.438
1610747318.190,116.699,-41.992,-231.445,-0.488
1610747318.193,-1.953,-51.758,-436.523,-26.367
1610747318.197,-188.477,-44.922,-761.719,-59.570
1610747318.201,-93.750,-36.133,-498.047,-41.992
1610747318.205,105.469,-56.152,-158.203,-6.348
1610747318.209,47.363,-54.199,-412.598,-17.578
1610747318.211,-157.227,-49.316,-714.844,-53.711
1610747318.215,-131.836,-44.922,-536.133,-46.875
1610747318.219,73.730,-33.203,-219.727,-10.742
1610747318.223,95.215,-30.273,-351.074,-4.395
1610747318.227,-105.469,-31.250,-702.637,-44.922
1610747318.231,-177.246,-32.227,-710.449,-61.523
1610747318.235,12.695,-30.762,-367.188,-23.438
1610747318.238,107.910,-27.344,-360.352,-2.441
1610747318.242,-61.035,-28.809,-666.504,-37.598
1610747318.246,-189.941,-39.062,-590.820,-73.730
1610747318.250,-52.734,-39.062,-395.508,-46.387
1610747318.254,108.398,-34.668,-302.246,-8.301
1610747318.257,7.812,-38.574,-500.488,-28.809
1610747318.261,-177.246,-36.133,-641.113,-59.570
1610747318.265,-102.051,-22.949,-465.820,-46.875
1610747318.269,83.984,-23.926,-444.336,-12.695
1610747318.273,47.363,-38.086,-521.484,-19.043
1610747318.277,-146.484,-41.016,-597.168,-58.594
1610747318.281,-148.438,-45.898,-625.000,-56.152
1610747318.284,52.734,-48.828,-414.551,-13.184
1610747318.288,104.004,-42.480,-309.570,-10.254
1610747318.292,-81.055,-44.922,-468.262,-51.758
1610747318.296,-171.875,-42.480,-627.441,-66.406
1610747318.300,-3.906,-42.969,-407.715,-36.133
1610747318.301,109.375,-50.781,-208.008,-15.137
1610747318.305,-44.922,-43.457,-423.340,-42.969
1610747318.309,-204.590,-31.738,-738.281,-71.289
1610747318.313,-76.660,-30.762,-550.781,-49.316
1610747318.317,101.562,-39.551,-230.957,-20.508
1610747318.321,20.508,-41.992,-457.520,-34.180
1610747318.325,-175.293,-48.828,-777.344,-59.570
1610747318.328,-125.488,-53.711,-694.336,-46.875
1610747318.332,95.215,-41.992,-178.711,-10.742
1610747318.336,86.914,-35.645,-243.164,-11.230
1610747318.340,-130.859,-32.715,-604.004,-47.852
1610747318.344,-154.297,-30.762,-562.988,-51.758
1610747318.346,37.109,-36.621,-358.887,-24.902
1610747318.350,97.168,-41.504,-325.684,-19.043
1610747318.354,-91.309,-47.852,-625.488,-49.805
1610747318.358,-198.242,-56.641,-659.180,-73.730
1610747318.362,-16.602,-40.039,-377.930,-40.527
1610747318.366,108.398,-27.832,-293.457,-15.625
1610747318.370,-42.969,-46.387,-608.887,-40.527
1610747318.373,-200.684,-58.594,-779.785,-66.406
1610747318.377,-74.707,-61.523,-373.535,-45.410
1610747318.381,104.492,-60.547,-240.234,-11.230
1610747318.385,34.668,-57.129,-430.664,-23.438
1610747318.389,-169.922,-45.410,-564.453,-65.918
1610747318.391,-145.996,-37.109,-456.055,-61.523
1610747318.395,65.430,-36.133,-299.805,-14.648
1610747318.399,79.102,-37.598,-380.859,-12.695
1610747318.403,-120.117,-43.945,-534.180,-50.293
1610747318.407,-166.016,-45.410,-544.922,-57.129
1610747318.411,17.090,-46.387,-473.145,-15.625
1610747318.415,98.145,-51.270,-425.293,-3.906
1610747318.418,-62.500,-48.828,-465.820,-44.434
1610747318.422,-182.129,-42.969,-625.000,-58.105
1610747318.426,-40.527,-55.664,-559.082,-30.762
1610747318.430,108.398,-68.359,-340.820,-6.836
1610747318.434,-5.371,-51.270,-355.469,-30.762
1610747318.451,-197.754,-42.969,-635.742,-73.730
1610747318.455,-111.816,-45.898,-612.305,-64.941
1610747318.459,90.332,-48.340,-307.129,-29.785
1610747318.463,60.547,-47.363,-273.926,-29.785
1610747318.467,-144.531,-44.922,-624.023,-64.941
1610747318.471,-141.113,-45.898,-633.301,-61.523
1610747318.475,66.895,-48.340,-285.645,-24.414
1610747318.478,101.562,-47.852,-219.238,-23.438
1610747318.482,-104.004,-59.570,-557.617,-58.594
1610747318.486,-180.176,-62.988,-679.688,-68.848
1610747318.490,14.648,-52.246,-350.586,-31.738
1610747318.494,120.605,-50.781,-252.441,-9.766
