timestamps,TP9,AF7,AF8,TP10
1610747619.128,215.820,-31.738,369.629,26.855
1610747619.132,55.664,-36.621,157.227,-21.973
1610747619.136,-250.977,-39.062,-253.418,-87.891
1610747619.140,-148.438,-36.133,-214.355,-59.570
1610747619.144,172.852,-30.273,216.797,12.207
1610747619.148,134.277,-28.809,51.758,0.977
1610747619.152,-192.383,-26.855,-348.633,-76.172
1610747619.155,-222.656,-28.320,-253.906,-81.543
1610747619.159,93.750,-29.785,67.383,-10.742
1610747619.163,177.246,-31.250,153.809,2.930
1610747619.167,-118.652,-30.762,-72.754,-66.406
1610747619.171,-269.531,-31.250,-299.316,-94.727
1610747619.173,0.000,-37.109,-134.277,-32.715
1610747619.177,203.125,-37.598,207.520,14.648
1610747619.181,-16.602,-35.645,167.969,-39.551
1610747619.185,-278.809,-35.645,-303.711,-97.656
1610747619.189,-100.098,-28.320,-213.379,-56.152
1610747619.193,194.824,-21.484,269.531,4.883
1610747619.197,74.219,-21.973,146.973,-20.020
1610747619.200,-250.488,-29.785,-318.359,-94.238
1610747619.204,-190.918,-33.691,-465.332,-78.613
1610747619.208,140.137,-31.250,4.395,6.836
1610747619.212,146.973,-34.180,405.273,2.930
1610747619.216,-182.129,-32.715,-108.887,-75.195
1610747619.218,-254.883,-34.668,-380.859,-85.938
1610747619.222,67.383,-35.645,173.828,-6.836
1610747619.226,198.730,-34.180,432.129,22.461
1610747619.230,-91.309,-36.133,-84.961,-41.016
1610747619.234,-282.227,-34.668,-485.352,-78.613
1610747619.238,-19.043,-33.203,-77.148,-26.855
1610747619.242,212.402,-35.156,348.633,19.043
1610747619.245,2.441,-38.086,-71.777,-30.762
1610747619.249,-284.180,-44.434,-564.453,-94.727
1610747619.253,-126.465,-46.875,-176.758,-59.570
1610747619.257,189.941,-37.598,318.848,7.812
1610747619.261,100.098,-35.645,88.379,-5.859
1610747619.263,-229.004,-42.480,-450.684,-69.336
1610747619.267,-192.871,-46.387,-161.133,-69.336
1610747619.271,139.648,-45.898,312.012,-0.488
1610747619.275,175.293,-35.156,368.652,3.906
1610747619.279,-139.648,-32.227,-81.543,-68.848
1610747619.283,-251.953,-40.039,-446.289,-90.820
1610747619.287,43.457,-40.039,40.039,-28.809
1610747619.290,199.707,-40.527,227.051,8.789
1610747619.294,-69.336,-41.016,-152.832,-46.387
1610747619.298,-289.551,-37.109,-301.758,-101.074
1610747619.302,-52.734,-37.598,-19.043,-49.805
1610747619.306,182.617,-40.039,291.504,8.789
1610747619.309,-5.371,-41.016,82.520,-35.645
1610747619.313,-276.855,-46.875,-311.523,-99.121
1610747619.317,-154.785,-48.340,-224.609,-62.012
1610747619.321,168.457,-42.969,238.770,10.742
1610747619.325,114.746,-40.039,268.066,-19.531
1610747619.329,-220.703,-34.180,-248.047,-88.867
1610747619.333,-231.445,-28.809,-484.375,-87.402
1610747619.336,107.910,-27.832,-5.859,-14.648
1610747619.340,185.059,-33.203,383.301,0.488
1610747619.344,-136.719,-33.691,-93.750,-68.359
1610747619.348,-291.992,-38.086,-527.832,-100.586
1610747619.352,-7.812,-37.109,-264.160,-36.133
1610747619.353,195.312,-29.297,312.500,4.395
1610747619.357,-37.109,-28.809,212.891,-49.805
1610747619.361,-288.086,-27.344,-295.410,-97.168
1610747619.365,-85.938,-29.297,-121.582,-54.688
1610747619.369,198.730,-28.809,328.125,-2.441
1610747619.373,55.664,-24.902,170.410,-30.273
1610747619.377,-269.531,-21.484,-487.793,-96.191
1610747619.380,-186.035,-21.484,-414.551,-76.660
1610747619.384,158.691,-25.391,340.820,-2.930
1610747619.388,139.160,-33.203,308.594,-13.672
1610747619.392,-202.637,-40.527,-261.719,-85.938
1610747619.396,-250.488,-43.457,-326.172,-95.215
1610747619.398,82.520,-41.504,227.051,-22.461
1610747619.402,185.547,-37.598,307.129,6.348
1610747619.406,-112.793,-30.273,-178.223,-52.734
1610747619.410,-276.855,-26.367,-341.309,-93.750
1610747619.414,-7.324,-33.203,83.008,-39.551
1610747619.418,206.055,-38.574,267.578,11.719
1610747619.422,-22.461,-41.504,-195.312,-33.203
1610747619.425,-296.875,-45.410,-421.875,-97.656
1610747619.429,-113.281,-40.039,-22.949,-58.594
1610747619.433,184.570,-39.551,185.059,13.184
1610747619.437,56.641,-46.387,-175.781,-16.602
1610747619.441,-258.789,-46.387,-345.703,-91.309
1610747619.458,-195.312,-42.969,-149.414,-78.125
1610747619.462,137.207,-41.992,264.160,-1.465
1610747619.466,150.879,-33.203,338.867,3.418
1610747619.470,-169.922,-26.367,-66.895,-67.871
1610747619.474,-259.766,-30.762,-353.516,-85.938
1610747619.478,49.316,-29.785,-64.453,-16.113
1610747619.482,195.312,-26.855,304.688,12.207
1610747619.485,-83.008,-30.762,58.105,-52.734
1610747619.489,-289.062,-34.180,-328.613,-100.098
1610747619.493,-45.898,-39.062,-338.867,-45.410
1610747619.497,209.961,-42.969,73.730,13.672
1610747619.501,21.484,-37.598,253.906,-29.297
