timestamps,TP9,AF7,AF8,TP10
1610747431.492,206.055,-34.668,321.777,22.949
1610747431.496,-61.035,-37.598,29.297,-37.598
1610747431.500,-278.320,-34.668,-455.078,-84.961
1610747431.504,-38.574,-28.809,-176.758,-32.227
1610747431.508,212.402,-32.715,388.672,19.531
1610747431.512,23.438,-40.039,55.664,-21.973
1610747431.516,-271.484,-43.945,-519.531,-83.984
1610747431.519,-142.090,-43.945,-222.168,-63.477
1610747431.523,173.340,-39.551,342.773,-3.906
1610747431.527,104.492,-36.621,200.684,-23.438
1610747431.531,-228.027,-37.109,-400.391,-83.496
1610747431.535,-220.215,-33.691,-328.613,-74.219
1610747431.537,119.141,-30.273,304.199,-0.488
1610747431.541,182.129,-30.273,322.754,21.484
1610747431.545,-138.184,-37.598,-259.766,-48.828
1610747431.549,-257.324,-41.016,-395.020,-79.102
1610747431.553,42.480,-35.645,137.695,-15.137
1610747431.557,208.008,-40.039,275.391,21.484
1610747431.561,-55.176,-48.828,-345.703,-36.621
1610747431.564,-277.832,-44.922,-468.262,-95.215
1610747431.568,-51.758,-38.086,-26.855,-48.340
1610747431.572,205.078,-38.574,300.293,15.137
1610747431.576,48.828,-33.203,178.223,-19.531
1610747431.580,-253.418,-30.762,-363.770,-90.332
1610747431.583,-157.715,-30.762,-342.285,-76.660
1610747431.587,165.039,-28.320,167.480,-0.488
1610747431.591,122.070,-29.297,-41.016,1.953
1610747431.595,-202.148,-26.855,-354.004,-69.336
1610747431.599,-222.656,-22.461,-284.180,-72.754
1610747431.603,98.145,-21.484,25.879,-1.465
1610747431.607,190.918,-18.066,289.551,10.742
1610747431.610,-105.469,-12.207,5.371,-59.082
1610747431.614,-262.695,-15.137,-339.355,-83.984
1610747431.618,6.836,-27.344,-123.047,-23.438
1610747431.622,204.102,-27.344,306.152,11.230
1610747431.626,-28.809,-29.297,144.531,-34.180
1610747431.642,-283.203,-32.715,-339.355,-83.008
1610747431.646,-93.750,-29.785,-260.742,-49.805
1610747431.650,187.012,-35.156,216.797,13.184
1610747431.654,66.406,-46.875,220.215,-12.207
1610747431.658,-239.746,-49.316,-322.266,-81.055
1610747431.662,-184.570,-45.898,-526.367,-66.406
1610747431.666,136.230,-42.969,119.141,-4.883
1610747431.669,146.484,-39.062,372.559,-1.465
1610747431.673,-180.664,-34.180,-192.871,-69.336
1610747431.677,-245.117,-26.367,-390.625,-81.543
1610747431.681,78.613,-24.414,187.500,-7.812
1610747431.685,193.359,-29.297,343.262,19.531
1610747431.687,-97.656,-32.715,-256.348,-38.574
1610747431.691,-287.598,-35.645,-500.000,-84.961
1610747431.695,-18.066,-31.250,53.223,-33.203
1610747431.699,210.938,-29.297,397.461,15.625
1610747431.703,-27.832,-35.156,-48.828,-40.527
1610747431.707,-288.086,-38.574,-475.098,-97.656
1610747431.711,-114.258,-34.668,-242.676,-61.523
1610747431.714,180.176,-27.344,266.602,2.441
1610747431.718,83.984,-23.438,69.336,-14.648
1610747431.722,-240.723,-22.949,-573.730,-74.219
1610747431.726,-199.219,-24.902,-267.578,-74.707
1610747431.730,134.277,-29.785,291.016,-9.277
1610747431.732,166.992,-30.273,259.766,2.930
1610747431.736,-156.250,-29.785,-77.148,-72.754
1610747431.740,-259.277,-30.273,-284.180,-96.680
1610747431.744,50.293,-26.855,109.863,-24.414
1610747431.748,200.684,-27.832,295.898,16.602
1610747431.752,-77.637,-28.809,-109.863,-35.645
1610747431.756,-284.180,-24.902,-400.391,-85.449
1610747431.759,-41.016,-25.879,-89.844,-34.180
1610747431.763,196.777,-32.227,119.141,24.902
1610747431.767,20.996,-32.715,83.984,-22.949
1610747431.771,-258.301,-33.691,-249.512,-88.379
1610747431.775,-135.742,-37.598,-324.707,-60.059
1610747431.777,167.969,-40.039,107.422,0.488
1610747431.781,110.840,-39.062,251.953,-12.695
1610747431.785,-216.797,-34.180,-214.844,-81.543
1610747431.789,-218.750,-37.109,-404.785,-79.102
1610747431.793,111.816,-43.945,53.223,-7.324
1610747431.797,157.227,-41.992,248.535,0.488
1610747431.801,-148.438,-35.645,-134.766,-73.242
1610747431.804,-275.391,-35.156,-474.609,-96.680
1610747431.808,13.184,-37.598,-86.914,-27.344
1610747431.812,200.195,-36.133,422.363,12.207
1610747431.816,-48.828,-38.574,66.406,-43.945
1610747431.820,-285.645,-39.551,-534.180,-92.773
1610747431.822,-75.195,-38.086,-164.551,-46.875
1610747431.826,195.801,-39.551,407.227,9.277
1610747431.830,42.969,-39.062,175.781,-18.555
1610747431.834,-263.672,-41.504,-379.395,-75.195
1610747431.838,-165.039,-41.992,-220.215,-51.270
1610747431.842,150.391,-41.504,289.062,13.184
1610747431.846,113.281,-40.527,206.055,-4.395
1610747431.849,-212.891,-32.715,-469.727,-72.754
1610747431.853,-235.352,-31.738,-377.930,-76.172
1610747431.857,94.238,-36.133,280.762,-6.348
1610747431.861,187.012,-31.738,335.938,17.578
1610747431.865,-114.258,-28.809,-145.020,-49.316
1610747431.868,-269.043,-36.133,-442.383,-87.402
1610747431.872,14.648,-38.086,79.102,-33.691
1610747431.876,211.914,-39.062,285.156,12.207
1610747431.880,-42.480,-44.922,-298.828,-41.504
1610747431.884,-291.016,-44.434,-431.641,-102.051
1610747431.888,-90.332,-41.992,-99.609,-45.898
1610747431.892,187.012,-40.527,171.875,20.996
1610747431.895,60.059,-41.016,64.453,-16.602
1610747431.899,-244.629,-37.109,-203.125,-81.055
1610747431.903,-175.293,-32.715,-186.035,-66.406
1610747431.907,142.578,-28.320,218.262,6.836
1610747431.911,141.602,-24.414,328.613,7.812
